osm_id,code,fclass,name,type,area
"140581667","1500",building,,apartments,"1501"
"140582040","1500",building,,apartments,"1326"
"140582042","1500",building,Sesto Rondò,parking,"1550"
"140582045","1500",building,,apartments,"672"
"140582528","1500",building,,apartments,"658"
"140582529","1500",building,,apartments,"1549"
"140582759","1500",building,,apartments,"368"
"140582760","1500",building,,apartments,"490"
"140582761","1500",building,,apartments,"487"
"140582762","1500",building,,apartments,"279"
"140582763","1500",building,,apartments,"828"
"140584015","1500",building,,apartments,"579"
"140584018","1500",building,,apartments,"485"
"140584019","1500",building,,apartments,"991"
"140584024","1500",building,,apartments,"627"
"140584029","1500",building,,,"1660"
"140584030","1500",building,,apartments,"1283"
"140584033","1500",building,,apartments,"1835"
"140585317","1500",building,,,"489"
"140585476","1500",building,Villa Mylius,villa,"699"
"140586105","1500",building,,apartments,"333"
"140586109","1500",building,,,"259"
"140586110","1500",building,,apartments,"249"
"140586115","1500",building,,,"309"
"140586118","1500",building,,apartments,"691"
"140586960","1500",building,,apartments,"1193"
"140586962","1500",building,,,"81"
"140586964","1500",building,,apartments,"1956"
"140586965","1500",building,,apartments,"1362"
"140586967","1500",building,,apartments,"183"
"140588154","1500",building,,,"148"
"140588155","1500",building,,apartments,"685"
"140588156","1500",building,,apartments,"306"
"140588157","1500",building,,,"568"
"1913099","1500",building,,kindergarten,"876"
"140588159","1500",building,,,"1227"
"140588160","1500",building,,,"471"
"140588161","1500",building,,house,"152"
"140588162","1500",building,,apartments,"422"
"140588163","1500",building,,,"205"
"140588164","1500",building,,apartments,"735"
"140588165","1500",building,,,"214"
"140588166","1500",building,,,"476"
"140588167","1500",building,,,"192"
"140588168","1500",building,,apartments,"431"
"140588524","1500",building,,industrial,"950"
"140588525","1500",building,,office,"314"
"140588526","1500",building,,apartments,"2453"
"140588527","1500",building,,apartments,"4332"
"140588529","1500",building,,retail,"782"
"140588530","1500",building,,residential,"166"
"140588852","1500",building,,retail,"1198"
"140589029","1500",building,,office,"3448"
"140589786","1500",building,,apartments,"1304"
"140589788","1500",building,,apartments,"893"
"140591013","1500",building,,apartments,"651"
"140591015","1500",building,,apartments,"512"
"140591016","1500",building,,apartments,"660"
"140591017","1500",building,,office,"1636"
"140591019","1500",building,,,"442"
"140591020","1500",building,,apartments,"304"
"140591021","1500",building,,apartments,"220"
"140591022","1500",building,,apartments,"225"
"140591023","1500",building,,apartments,"298"
"140591024","1500",building,,apartments,"446"
"140591026","1500",building,,,"133"
"140591027","1500",building,Chiesa di San Giovanni Battista,church,"1228"
"140591028","1500",building,,apartments,"430"
"140591029","1500",building,,,"333"
"140591459","1500",building,,,"1057"
"140592049","1500",building,,,"1075"
"140592050","1500",building,,office,"455"
"140592053","1500",building,,office,"1387"
"140592098","1500",building,,apartments,"623"
"140592100","1500",building,,apartments,"1087"
"140592101","1500",building,,apartments,"604"
"140663458","1500",building,,roof,"68"
"140664953","1500",building,,apartments,"304"
"140664955","1500",building,,apartments,"596"
